Supplier_ID,Year,Financial_Stability_Score,Delivery_Performance_Score,Quality_Compliance_Score,Regulatory_Adherence_Score,Sustainability_Score,Past_Risk_Level,ERP_Transactions,Incidents_Count,MCDM_Score,Risk_Category,Risk_Score_Equal,Risk_Score_Priority,Risk_Class_Equal,Risk_Class_Priority
82,2024,0.54,0.42,0.77,0.81,0.55,0.89,482,13,0.6,Medium,0.682268170426065,0.7063639097744361,High Risk,High Risk
90,2025,0.53,0.46,0.74,0.88,0.66,0.16,97,16,0.62,Medium,0.5541783029001073,0.6155248120300751,Medium Risk,Medium Risk
26,2024,0.86,0.85,0.59,0.68,0.56,0.48,77,13,0.75,High,0.5518259935553168,0.4626639097744361,Medium Risk,Medium Risk
88,2022,0.82,0.42,0.63,0.89,0.93,0.51,288,12,0.7,Medium,0.4971983530254206,0.5157864661654136,Medium Risk,Medium Risk
18,2022,0.55,0.64,0.55,0.89,0.43,0.56,322,6,0.61,Medium,0.5868474758324381,0.6157218045112782,Medium Risk,Medium Risk
86,2022,0.67,0.54,0.67,0.79,0.55,0.65,195,14,0.64,Medium,0.6361134980307911,0.6254842105263156,Medium Risk,Medium Risk
100,2022,0.69,0.75,0.78,0.75,0.54,0.9,369,1,0.72,High,0.5048997493734336,0.4818203007518797,Medium Risk,Medium Risk
59,2023,0.99,0.76,0.62,0.64,0.41,0.25,53,10,0.75,High,0.5276369495166486,0.42900300751879694,Medium Risk,Medium Risk
62,2021,0.36,0.71,0.71,0.99,0.38,0.4,269,10,0.61,Medium,0.5449498746867167,0.6158172932330828,Medium Risk,Medium Risk
4,2021,0.64,0.83,0.91,0.89,0.67,0.48,222,11,0.78,High,0.39757071249552445,0.401509022556391,Medium Risk,Medium Risk
5,2022,0.53,0.66,0.75,0.7,0.38,0.61,369,5,0.62,Medium,0.6067096312209095,0.6100300751879698,Medium Risk,Medium Risk
37,2023,0.95,0.59,0.8,0.75,0.62,0.55,187,11,0.77,High,0.4930809165771572,0.4373947368421053,Medium Risk,Medium Risk
2,2025,0.78,0.45,0.57,0.6,0.38,0.47,87,2,0.59,Medium,0.6502756892230578,0.624112030075188,Medium Risk,Medium Risk
94,2021,0.9,0.85,0.7,0.97,0.99,0.21,84,0,0.87,High,0.1845918367346939,0.19764285714285712,Low Risk,Low Risk
40,2024,0.89,0.48,0.9,0.68,0.41,0.16,54,18,0.71,High,0.567719298245614,0.5178796992481203,Medium Risk,Medium Risk
78,2022,0.94,0.59,0.79,0.87,0.62,0.71,337,18,0.78,High,0.5306104547081991,0.4726939849624061,Medium Risk,Medium Risk
38,2021,0.82,0.7,0.62,0.96,0.57,0.54,153,7,0.75,High,0.44854994629430717,0.4396421052631579,Medium Risk,Medium Risk
51,2023,0.6,0.6,0.87,0.88,0.42,0.88,338,19,0.68,Medium,0.6438095238095237,0.6312285714285714,Medium Risk,Medium Risk
94,2023,0.85,0.49,0.66,0.7,0.82,0.03,135,1,0.7,Medium,0.40486573576799145,0.4213060150375941,Medium Risk,Medium Risk
10,2025,0.91,0.61,0.91,0.64,0.89,0.13,233,14,0.79,High,0.41179377013963475,0.3705842105263158,Medium Risk,Medium Risk
29,2025,0.64,0.65,0.89,0.6,0.72,0.57,331,10,0.69,Medium,0.5448478338703902,0.5235887218045113,Medium Risk,Medium Risk
27,2025,0.88,0.98,0.67,0.69,0.6,0.29,412,11,0.81,High,0.4400196920873613,0.35083759398496245,Medium Risk,Medium Risk
90,2025,0.4,0.46,0.63,0.89,0.72,0.1,373,4,0.57,Medium,0.4975241675617616,0.6136812030075188,Medium Risk,Medium Risk
37,2022,0.84,0.62,0.53,0.63,0.37,0.84,316,0,0.64,Medium,0.6381292517006802,0.5739142857142857,Medium Risk,Medium Risk
46,2025,0.99,0.9,0.56,0.97,0.91,0.52,473,14,0.87,High,0.3601951306838525,0.2990842105263158,Medium Risk,Low Risk
21,2021,0.82,0.52,0.89,0.84,0.38,0.41,139,10,0.72,High,0.4998818474758324,0.48908872180451124,Medium Risk,Medium Risk
38,2022,0.63,0.69,0.96,0.83,0.32,0.91,231,6,0.71,High,0.5353508771929826,0.5250503759398497,Medium Risk,Medium Risk
52,2025,0.94,0.62,0.79,0.85,0.31,0.66,386,19,0.75,High,0.5942517006802721,0.5151714285714286,Medium Risk,Medium Risk
49,2024,0.59,0.45,1.0,0.8,0.72,0.07,264,18,0.68,Medium,0.4885356247762263,0.5363796992481203,Medium Risk,Medium Risk
56,2023,0.54,0.68,0.81,0.75,0.89,0.59,306,13,0.7,Medium,0.5181185105621194,0.5335353383458645,Medium Risk,Medium Risk
47,2022,0.67,0.66,0.7,0.82,0.41,0.18,462,6,0.67,Medium,0.4895345506623703,0.5025789473684211,Medium Risk,Medium Risk
3,2022,0.49,0.79,0.7,0.61,0.41,0.72,398,7,0.62,Medium,0.6549785177228785,0.6277706766917294,Medium Risk,Medium Risk
65,2021,0.46,0.54,0.84,0.61,0.37,0.8,116,18,0.57,Medium,0.7829233798782671,0.7626225563909773,High Risk,High Risk
97,2024,0.47,0.46,0.62,0.89,0.9,0.83,214,13,0.6,Medium,0.6213157894736842,0.6813639097744361,Medium Risk,High Risk
95,2022,0.31,0.45,0.6,0.61,0.43,0.58,237,17,0.46,Medium,0.85234335839599,0.8776879699248121,High Risk,High Risk
2,2021,0.87,0.61,0.63,0.75,0.71,0.27,310,4,0.72,High,0.442218045112782,0.42646691729323316,Medium Risk,Medium Risk
38,2021,0.61,0.58,0.97,0.91,0.4,0.87,169,13,0.7,Medium,0.5647851772287862,0.5729353383458647,Medium Risk,Medium Risk
87,2021,0.64,0.71,0.87,0.88,0.58,0.22,327,10,0.73,High,0.4148478338703903,0.4387887218045113,Medium Risk,Medium Risk
4,2022,0.67,0.5,0.64,0.61,0.94,0.12,405,8,0.64,Medium,0.5180755460078769,0.5374195488721805,Medium Risk,Medium Risk
38,2022,0.69,0.79,0.91,0.68,0.31,0.14,362,5,0.72,High,0.45167561761546715,0.4292157894736842,Medium Risk,Medium Risk
91,2022,0.72,0.8,0.59,0.97,0.59,0.38,171,13,0.74,High,0.4683225921947726,0.46144962406015044,Medium Risk,Medium Risk
64,2022,0.42,0.84,0.54,0.84,0.47,0.39,345,10,0.62,Medium,0.5840995345506624,0.6062315789473685,Medium Risk,Medium Risk
36,2021,0.81,0.77,0.97,0.76,0.97,0.14,361,0,0.84,High,0.2139455782312925,0.2283,Low Risk,Low Risk
36,2024,0.41,0.9,0.92,0.98,0.41,0.62,499,8,0.72,High,0.4433476548514142,0.484190977443609,Medium Risk,Medium Risk
73,2021,0.59,0.82,0.8,0.78,0.35,0.08,157,11,0.69,Medium,0.4890332975295381,0.48518045112781955,Medium Risk,Medium Risk
51,2022,0.37,0.59,0.9,0.98,0.85,0.69,352,11,0.67,Medium,0.47379520229144284,0.5669661654135337,Medium Risk,Medium Risk
62,2023,0.81,0.88,0.83,0.88,0.89,0.25,138,11,0.85,High,0.29964554242749725,0.2836661654135338,Low Risk,Low Risk
15,2023,0.99,0.97,0.52,0.88,0.95,0.18,135,6,0.87,High,0.27021482277121367,0.22059323308270673,Low Risk,Low Risk
14,2025,0.81,0.52,0.56,0.77,0.86,0.75,421,6,0.69,Medium,0.5417454350161117,0.5302646616541353,Medium Risk,Medium Risk
99,2022,0.67,0.79,0.83,0.75,0.69,0.48,180,4,0.75,High,0.4171160042964554,0.4127526315789473,Medium Risk,Medium Risk
43,2022,0.81,0.44,0.66,0.82,0.85,0.32,259,0,0.69,Medium,0.4098639455782313,0.4492571428571429,Medium Risk,Medium Risk
16,2025,0.73,0.54,0.51,0.95,0.31,0.87,190,17,0.63,Medium,0.7154045828857859,0.687445112781955,High Risk,High Risk
32,2023,0.35,0.41,0.53,0.64,0.33,0.48,321,11,0.44,Medium,0.823999283924096,0.8625947368421053,High Risk,High Risk
10,2021,0.54,0.71,0.87,0.6,0.63,0.3,373,17,0.67,Medium,0.5891120658789831,0.570345112781955,Medium Risk,Medium Risk
62,2025,0.33,0.41,0.99,0.77,0.57,0.68,189,4,0.57,Medium,0.5771840315073398,0.6701526315789473,Medium Risk,High Risk
61,2025,0.36,0.65,0.94,0.98,0.63,0.61,202,6,0.67,Medium,0.4459971356963838,0.539678947368421,Medium Risk,Medium Risk
52,2024,0.46,0.97,0.82,0.84,0.66,0.23,275,8,0.74,High,0.388313641245972,0.4161195488721805,Medium Risk,Medium Risk
3,2025,0.34,0.98,0.94,0.97,1.0,0.17,468,17,0.78,High,0.31941818832796276,0.3896451127819549,Low Risk,Medium Risk
82,2021,0.41,0.89,0.61,0.69,0.68,0.59,447,4,0.64,Medium,0.548408521303258,0.5598097744360901,Medium Risk,Medium Risk
98,2023,0.91,0.56,0.56,0.96,0.97,0.86,58,14,0.77,High,0.4973720014321518,0.4755127819548872,Medium Risk,Medium Risk
40,2021,0.69,0.45,0.7,0.75,0.48,0.72,139,17,0.62,Medium,0.706016827783745,0.6832593984962405,High Risk,High Risk
70,2025,0.45,0.81,0.54,0.94,0.65,0.48,398,18,0.65,Medium,0.5856784819190833,0.6079796992481202,Medium Risk,Medium Risk
58,2023,0.54,0.81,0.78,0.71,0.92,0.8,217,0,0.72,High,0.4361564625850341,0.45169999999999993,Medium Risk,Medium Risk
59,2023,0.41,0.6,0.62,0.97,0.37,0.7,237,6,0.58,Medium,0.6086161833154314,0.6729503759398495,Medium Risk,High Risk
5,2023,0.97,0.68,0.94,0.6,0.87,0.23,88,17,0.83,High,0.42952022914428933,0.3520736842105263,Medium Risk,Medium Risk
100,2022,0.88,0.7,0.5,0.71,0.73,0.98,66,7,0.72,High,0.5900805585392052,0.5165563909774437,Medium Risk,Medium Risk
95,2022,0.74,0.72,0.89,0.64,0.83,0.54,273,1,0.76,High,0.39908342284282133,0.38486315789473685,Medium Risk,Medium Risk
63,2024,0.74,0.96,0.55,0.97,0.78,0.07,268,16,0.8,High,0.3770694593626924,0.3630676691729323,Medium Risk,Medium Risk
12,2021,0.71,0.61,0.81,0.62,0.91,0.97,334,11,0.71,High,0.5816863587540279,0.5427947368421052,Medium Risk,Medium Risk
36,2023,0.39,0.85,0.51,0.61,0.53,0.49,484,10,0.58,Medium,0.6805961331901181,0.6686744360902257,High Risk,High Risk
58,2022,0.41,0.68,0.97,0.64,0.9,0.53,334,10,0.67,Medium,0.5050519155030432,0.5407172932330827,Medium Risk,Medium Risk
32,2022,0.84,0.54,0.57,0.95,0.97,0.03,70,14,0.74,High,0.39856247762262803,0.4259127819548873,Medium Risk,Medium Risk
80,2025,0.75,0.64,0.64,0.99,0.59,0.89,64,1,0.72,High,0.46149838882921596,0.4767203007518797,Medium Risk,Medium Risk
61,2023,0.32,0.79,0.68,0.95,0.63,0.97,479,16,0.64,Medium,0.6324436090225563,0.6683390977443608,Medium Risk,High Risk
93,2025,0.41,0.67,0.77,0.61,0.86,0.29,73,2,0.62,Medium,0.4890171858216971,0.5423977443609024,Medium Risk,Medium Risk
20,2021,0.3,0.76,0.8,0.7,0.69,0.23,493,1,0.61,Medium,0.46792696025778735,0.5429774436090226,Medium Risk,Medium Risk
88,2023,0.99,0.49,0.73,0.87,0.58,0.97,215,10,0.75,High,0.546514500537057,0.4941887218045113,Medium Risk,Medium Risk
45,2021,0.9,0.87,0.52,0.79,0.37,0.24,426,13,0.75,High,0.5241049051199427,0.4422924812030075,Medium Risk,Medium Risk
32,2024,0.79,0.74,0.5,0.73,0.66,0.09,463,0,0.7,Medium,0.4262925170068027,0.4184285714285715,Medium Risk,Medium Risk
77,2024,0.55,0.59,0.99,0.68,0.79,0.82,155,11,0.69,Medium,0.5493054063730755,0.5565661654135339,Medium Risk,Medium Risk
49,2023,0.39,0.94,0.8,0.85,0.73,0.3,253,7,0.71,High,0.4000805585392051,0.4475563909774436,Medium Risk,Medium Risk
72,2022,0.74,0.87,0.81,0.79,0.76,0.55,439,2,0.8,High,0.35588793412101677,0.34042631578947363,Medium Risk,Medium Risk
41,2024,0.81,0.45,0.53,0.7,0.41,0.87,171,18,0.61,Medium,0.791188686000716,0.722436842105263,High Risk,High Risk
55,2024,0.82,0.92,0.72,0.62,0.41,0.02,260,4,0.75,High,0.42483709273182957,0.3619954887218045,Medium Risk,Medium Risk
96,2021,0.65,0.45,0.7,0.69,0.59,0.2,440,11,0.61,Medium,0.5937611886860008,0.6098233082706767,Medium Risk,Medium Risk
49,2025,0.81,0.85,0.71,0.74,0.56,0.99,201,17,0.76,High,0.6092481203007518,0.5108022556390976,Medium Risk,Medium Risk
49,2023,0.71,0.66,0.86,0.79,0.91,0.9,311,6,0.76,High,0.44718761188686,0.44497894736842103,Medium Risk,Medium Risk
42,2023,0.71,0.95,0.61,0.85,0.74,0.73,404,7,0.77,High,0.4460669530970283,0.4114563909774437,Medium Risk,Medium Risk
100,2022,0.47,0.98,0.59,0.94,0.64,0.25,365,14,0.71,High,0.46594343000358046,0.4852842105263159,Medium Risk,Medium Risk
14,2021,0.76,0.46,0.83,0.72,0.58,0.86,310,0,0.68,Medium,0.5346938775510204,0.5337714285714286,Medium Risk,Medium Risk
40,2024,0.39,0.98,0.73,0.69,0.35,0.17,142,9,0.65,Medium,0.5417167919799499,0.5409969924812031,Medium Risk,Medium Risk
76,2021,0.6,0.55,0.81,0.88,0.42,0.17,170,10,0.65,Medium,0.5037593984962404,0.5459601503759398,Medium Risk,Medium Risk
37,2025,0.67,0.87,0.85,0.78,0.9,0.56,300,19,0.8,High,0.46299319727891153,0.4275,Medium Risk,Medium Risk
78,2022,0.39,0.54,0.53,0.86,0.46,0.18,108,4,0.53,Medium,0.5842928750447547,0.6703954887218044,Medium Risk,High Risk
33,2021,0.71,0.81,0.7,0.79,0.78,0.02,266,17,0.75,High,0.4407107053347655,0.4244022556390978,Medium Risk,Medium Risk
29,2021,0.71,0.55,0.76,0.74,0.67,0.13,175,12,0.68,Medium,0.5038990332975296,0.5117721804511278,Medium Risk,Medium Risk
52,2022,0.44,0.8,0.98,0.64,0.77,0.44,54,14,0.7,Medium,0.5112495524525599,0.517027067669173,Medium Risk,Medium Risk
86,2022,0.76,0.99,0.69,0.61,0.47,0.83,352,7,0.75,High,0.5585839598997494,0.45779924812030076,Medium Risk,Medium Risk
76,2023,0.95,0.81,0.84,0.69,0.76,0.39,118,8,0.84,High,0.37671500179018974,0.30820526315789476,Medium Risk,Low Risk
90,2024,0.41,0.76,0.66,0.95,1.0,0.75,294,12,0.69,Medium,0.48991944146079486,0.5481293233082707,Medium Risk,Medium Risk
31,2021,0.38,0.79,0.88,0.97,0.61,0.9,446,8,0.69,Medium,0.4898442534908701,0.5432338345864661,Medium Risk,Medium Risk
23,2023,0.91,0.63,0.65,0.86,0.53,0.63,248,14,0.74,High,0.5476441102756893,0.4937556390977444,Medium Risk,Medium Risk
21,2023,0.57,0.67,0.62,0.75,0.46,0.07,404,7,0.62,Medium,0.5370193340494092,0.5588563909774436,Medium Risk,Medium Risk
78,2022,0.83,0.7,0.77,0.98,0.89,0.91,270,11,0.81,High,0.41413533834586463,0.40055187969924816,Medium Risk,Medium Risk
5,2022,0.67,0.55,0.74,0.76,0.68,0.75,413,10,0.67,Medium,0.5821267454350162,0.5783030075187969,Medium Risk,Medium Risk
21,2023,0.31,0.79,0.95,0.7,0.95,0.06,326,12,0.68,Medium,0.4212459720730397,0.48965789473684207,Medium Risk,Medium Risk
86,2023,0.37,0.69,0.63,0.71,0.52,0.8,340,7,0.57,Medium,0.6765431435732188,0.6979706766917294,High Risk,High Risk
16,2022,0.73,0.83,0.64,0.77,0.39,0.18,400,11,0.71,High,0.5134890798424633,0.4749947368421053,Medium Risk,Medium Risk
74,2025,0.43,0.58,0.9,0.67,0.94,0.42,423,6,0.65,Medium,0.4801127819548872,0.5418646616541354,Medium Risk,Medium Risk
54,2021,0.56,0.72,0.56,0.6,0.75,0.52,269,8,0.62,Medium,0.6104905119942714,0.5955052631578949,Medium Risk,Medium Risk
26,2021,0.75,0.5,0.68,0.96,0.84,0.56,396,4,0.71,High,0.41851056211958476,0.464824060150376,Medium Risk,Medium Risk
68,2022,0.81,0.91,0.84,0.92,0.84,0.15,488,17,0.86,High,0.31639097744360895,0.29200225563909776,Low Risk,Low Risk
69,2021,0.82,0.92,0.61,0.64,0.32,0.64,209,10,0.73,High,0.6011743644826353,0.4943172932330827,Medium Risk,Medium Risk
10,2021,0.57,0.76,0.75,1.0,0.4,0.7,372,9,0.7,Medium,0.5064446831364124,0.5265112781954887,Medium Risk,Medium Risk
39,2021,0.78,0.99,0.56,0.64,0.81,0.58,216,12,0.77,High,0.5134228428213391,0.42577218045112786,Medium Risk,Medium Risk
36,2025,0.93,0.52,0.66,0.69,0.55,0.07,98,1,0.7,Medium,0.44578410311493016,0.4283774436090225,Medium Risk,Medium Risk
60,2025,0.35,0.78,0.64,0.84,0.78,0.23,107,2,0.63,Medium,0.43782670963122083,0.521412030075188,Medium Risk,Medium Risk
86,2022,1.0,0.8,0.78,0.89,0.63,0.06,349,3,0.85,High,0.25639992839240955,0.22913233082706763,Low Risk,Low Risk
69,2025,0.74,0.85,0.59,0.76,0.6,0.82,61,16,0.73,High,0.6107089151450052,0.5364533834586467,Medium Risk,Medium Risk
16,2024,0.99,0.68,0.69,0.65,0.98,0.02,409,11,0.8,High,0.3814482635159327,0.3294947368421053,Medium Risk,Low Risk
65,2021,0.77,0.46,0.63,0.92,0.91,0.61,87,19,0.7,Medium,0.5581632653061224,0.5650571428571428,Medium Risk,Medium Risk
98,2025,0.33,0.58,0.63,0.74,0.36,0.94,498,10,0.52,Medium,0.775392051557465,0.8008315789473686,High Risk,High Risk
67,2024,0.5,0.97,0.94,0.66,0.85,0.57,365,4,0.76,High,0.38987110633727173,0.3885812030075188,Medium Risk,Medium Risk
12,2021,0.38,0.89,0.69,0.95,0.91,0.81,385,6,0.71,High,0.438344074471894,0.49496466165413533,Medium Risk,Medium Risk
